category_location,price,unit_price,premium,maintenance_fee,area_floor,description
"커피점/카페 • 가산디지털단지역, 도보 4분","월세 7,000만/320만",평당 88.9만,"권리금 9,000만",관리비 20만,전용 42.98㎡ • 지상 1층 / 지상 16층,💕조각 추천 1층 유동 안정적이고 운영 효율적인 점포 
"고깃집 • 가산디지털단지역, 도보 5분","월세 1,000만/110만",평당 22.1만,"권리금 4,000만",관리비 -,전용 56.36㎡ • 지상 1층 / 지상 2층,가산디지털단지 역세권 이동인구 많은 상가
"한식점 • 남구로역, 도보 9분","월세 3,000만/200만",평당 50.2만,"권리금 8,000만",관리비 16만,전용 46.2㎡ • 지상 1층 / 지상 10층,"💕조각 추천, ACE 1층 전용14 가시성, 가성비 우수 상가"
"한식점 • 가산디지털단지역, 도보 8분","월세 3,000만/230만",평당 56.2만,권리금 -,관리비 15만,전용 47.27㎡ • 지상 1층 / 지상 19층,가시성좋은 1층 상가. 주방시설 완비. 즉시영업가능
"분식점 • 가산디지털단지역, 도보 8분","월세 3,000만/230만",평당 56.2만,권리금 -,관리비 15만,전용 47.27㎡ • 지상 1층 / 지상 19층,1층 노출상가. 커피.한식.일식.분식.중식.유동인구 많은 항아리 상권
"기타창업모음 • 구로디지털단지역, 도보 12분","월세 7,000만/350만",평당 83.6만,권리금 -,관리비 18만,전용 49.59㎡ • 지상 1층 / 지상 23층,"1층 전면 상가 임대, 무권리 초대형 오피스 상권"
"기타서비스업 • 구로디지털단지역, 도보 12분","월세 5,000만/350만",평당 68.1만,권리금 -,관리비 22만,전용 59.5㎡ • 지상 1층 / 지상 23층,"1층 상가 임대, 무권리 초대형 오피스 상권"
"커피점/카페 • 가산디지털단지역, 도보 4분","월세 3,000만/220만",평당 75.7만,"권리금 7,000만",관리비 20만,전용 33.54㎡ • 지상 1층 / 지상 20층,인테리어 완비된 카페 양도합니다
"미용실 • 남구로역, 도보 3분","월세 1,000만/72만",평당 62.8만,권리금 300만,관리비 1만,전용 13.22㎡ • 지상 1층 / 지상 4층,권리금 저렴한 1층 소형 미용실
"커피점/카페 • 가산디지털단지역, 도보 8분","월세 5,000만/380만",평당 79.7만,권리금 1억,관리비 80만,전용 55.0㎡ • 지상 1층 / 지상 19층,가산동 한라원앤원 파란만잔 넘깁니다
기타창업모음,월세 400만/45만,평당 30.7만,권리금 -,관리비 -,전용 16.53㎡ • 지상 1층 / 지상 1층,권리금 없는 상가 임대합니다
"생선회/해물 • 가산디지털단지역, 도보 4분","월세 5,000만/500만",평당 114.7만,"권리금 2,000만",관리비 50만,전용 49.59㎡ • 지상 1층 / 지상 16층,7호선 떠블역세권 1층
"분식점 • 가산디지털단지역, 도보 4분","월세 5,000만/500만",평당 114.7만,"권리금 2,000만",관리비 50만,전용 49.59㎡ • 지상 1층 / 지상 16층,가산 더블역세권 1층 권리저렴한 상가
"기타휴게점 • 구로디지털단지역, 도보 8분","월세 1,500만/120만",평당 48.6만,권리금 -,관리비 20만,전용 28.43㎡ • 지상 1층 / 지상 18층,"UP, 사진o 무권리 o 1층"
"기타음식점 • 남구로역, 도보 3분","월세 1,000만/100만",평당 34.4만,권리금 -,관리비 -,전용 33.1㎡ • 지상 1층 / 지상 5층,초역세권 배달하시기 좋은 1층 무권리
기타창업모음,월세 400만/45만,평당 30.7만,권리금 -,관리비 -,전용 16.53㎡ • 지상 1층 / 지상 1층,권리금 없는 상가 임대
"커피점/카페 • 가산디지털단지역, 도보 8분","월세 2,000만/170만",평당 49.3만,권리금 -,관리비 15만,전용 39.67㎡ • 지상 1층 / 지상 20층,"1층 전면상가, 전용12평, 무권리 임대"
"기타음식점 • 가산디지털단지역, 도보 10분","월세 2,600만/260만",평당 52.6만,권리금 -,관리비 20만,전용 56.2㎡ • 지상 1층 / 지상 20층,"★주변 기숙사, 사무실 많은 좋은 입지의 1층 전면부 상가를 무권리로!!"
"중국집 • 가산디지털단지역, 도보 14분","월세 3,000만/230만",평당 48.6만,권리금 -,관리비 15만,전용 54.35㎡ • 지상 1층 / 지상 20층,"대단지 오피스텔, 아파트, 사무실 인접 상권"
"기타음식점 • 가산디지털단지역, 도보 14분","월세 3,000만/210만",평당 47.6만,권리금 -,관리비 15만,전용 51.07㎡ • 지상 1층 / 지상 20층,약 1454세대 대단지 오피스텔 단지내 상권.
"한식점 • 가산디지털단지역, 도보 12분","월세 2,000만/170만",평당 31.4만,"권리금 7,000만",관리비 26만,전용 62.37㎡ • 지상 1층 / 지상 12층,형제닭발&오돌뼈 가산점 인수하실 분
"편의점 • 가산디지털단지역, 도보 4분","월세 4,000만/280만",평당 50.6만,"권리금 3,000만",관리비 150만,전용 64.2㎡ • 지상 1층 / 지상 12층,가산디지털단지역4분거리/유동인구 풍부/권리금조정/1층상가
"기타창업모음 • 남구로역, 도보 6분","월세 3,000만/250만",평당 57.9만,권리금 -,관리비 -,전용 49.59㎡ • 지상 1층 / 지상 2층,남구로역 초역세권 코너 공실 상가 
"커피점/카페 • 구로디지털단지역, 도보 12분","월세 4,000만/350만",평당 80.7만,"권리금 4,000만",관리비 50만,전용 49.59㎡ • 지상 1층 / 지상 23층,구로디지털 단지 앞 베이커리 카페 임대
"편의점 • 가산디지털단지역, 도보 6분","월세 1,000만/80만",평당 31.1만,권리금 -,관리비 -,전용 29.75㎡ • 지상 1층 / 지상 2층,"남부순환로 대로변 위치, 간판효과 탁월 (급매)"
"기타음식점 • 구로디지털단지역, 도보 8분","월세 4,000만/240만",평당 66.1만,"권리금 3,000만",관리비 53만,전용 42.33㎡ • 지상 1층 / 지상 14층,"구로동 오피스상권 위치, 배후수요 풍부한 1층 분식집"
"1층다용도 • 가산디지털단지역, 도보 9분","월세 1,000만/100만",평당 40.0만,권리금 500만,관리비 10만,전용 28.4㎡ • 지상 1층 / 지상 18층,모비우스상가 중 마지막 임대나온 상가 입니다
"커피점/카페 • 구로디지털단지역, 도보 10분","월세 2,500만/200만",평당 56.2만,"권리금 6,000만",관리비 40만,전용 40.99㎡ • 지상 1층 / 지상 20층,구로디지털단지 오피스단지 카페 양도
"커피점/카페 • 가산디지털단지역, 도보 8분","월세 4,000만/300만",평당 63.5만,권리금 -,관리비 20만,전용 54.61㎡ • 지상 1층 / 지상 19층,"가산동 가산디지털단지역 역세권, 깔끔한 인테리어, 시설 완비된 카페"
"분식점 • 가산디지털단지역, 도보 3분","월세 3,000만/250만",평당 52.6만,"권리금 8,000만",관리비 70만,전용 54.59㎡ • 지상 1층 / 지상 20층,가산동 전수양도 가능한 분식점
"맥주호프점 • 가산디지털단지역, 도보 6분","월세 1,575만/115만",평당 61.5만,"권리금 3,000만",관리비 -,전용 21.62㎡ • 지상 1층 / 지상 1층,금천구 가산동 위치좋은 1층 상가 임대
"기타휴게점 • 가산디지털단지역, 도보 5분","월세 1,000만/80만",평당 30.7만,권리금 800만,관리비 20만,전용 29.88㎡ • 지상 1층 / 지상 17층,1인 운영에 안성맞춤인 가산동 음식점
"기타음식점 • 가산디지털단지역, 도보 6분","월세 1,000만/130만",평당 23.5만,"권리금 3,000만",관리비 -,전용 62.81㎡ • 지상 1층 / 지상 2층,"역세권, 가산동 감성 인테리어 완비된 1층 양식당 임대"
중국집,"월세 1,000만/60만",평당 35.4만,권리금 800만,관리비 -,전용 19.83㎡ • 지상 1층 / 지상 2층,가산동 소형 평수의 1층 상가 임대
"이동통신점 • 가산디지털단지역, 도보 1분","월세 5,000만/400만",평당 154.7만,권리금 1억,관리비 30만,전용 29.75㎡ • 지상 1층 / 지상 15층,"가산동 가산디지털단지역 초역세권, 매출 좋은 이동통신점"
"돈까스/우동 • 가산디지털단지역, 도보 8분","월세 3,500만/350만",평당 61.5만,"권리금 8,000만",관리비 65만,전용 64.9㎡ • 지상 1층 / 지상 19층,"가산동 가산디지털단지역 역세권, 유동인구 많은 길목 위치한 돈까스집"
"커피점/카페 • 가산디지털단지역, 도보 1분","월세 3,500만/270만",평당 78.3만,"권리금 9,500만",관리비 83만,전용 39.67㎡ • 지상 1층 / 지상 15층,"가산동 가산디지털단지역 초역세권, 매출 좋은 카페"
"기타판매점 • 남구로역, 도보 7분","월세 2,500만/150만",평당 48.3만,"권리금 8,000만",관리비 25만,전용 36.36㎡ • 지상 1층 / 지상 20층,구로동 상권 잡혀있는 꽃집
"치킨점 • 구로디지털단지역, 도보 9분","월세 3,000만/340만",평당 72.7만,권리금 1억,관리비 18만,전용 52.89㎡ • 지상 1층 / 지상 7층,구로동 위치조건 좋은 치킨 전문점
"다용도점포 • 남구로역, 도보 4분","월세 3,000만/140만",평당 50.2만,"권리금 1,000만",관리비 -,전용 33.06㎡ • 지상 1층 / 지상 2층,남구로역 역세권 접근성 좋은 구로동 1층 상가
"돈까스/우동 • 가산디지털단지역, 도보 11분","월세 1,000만/130만",평당 37.0만,"권리금 5,000만",관리비 -,전용 39.67㎡ • 지상 1층 / 지상 3층,"가산동 오피스 지역 위치, 단골 많아 매출 좋은 우동집"
"커피점/카페 • 남구로역, 도보 9분","월세 2,000만/165만",평당 63.8만,권리금 -,관리비 30만,전용 29.75㎡ • 지상 1층 / 지상 10층,대로변 1층에 위치한 구로동 카페
"기타음식점 • 가산디지털단지역, 도보 11분","월세 2,000만/190만",평당 35.7만,권리금 500만,관리비 20만,전용 60.92㎡ • 지상 1층 / 지상 14층,금천구 가산동 접근성좋은대로변 1층 상가 임대
