category_location,price,unit_price,premium,maintenance_fee,area_floor,description
"커피점/카페 • 신길역, 도보 5분","월세 5,000만/345만",평당 45만,"권리금 1,000만",관리비 60만,전용 89.26㎡ • 지상 1층 / 지상 7층,"신길동 신길역 역세권, 병원 건물 1층 위치해 매출 좋은 카페"
"커피점/카페 • 국회의사당역, 도보 6분","월세 1,000만/171만",평당 96만,"권리금 3,000만",관리비 60만,전용 20.0㎡ • 지상 1층 / 지상 11층,여의도 오피스상권 카페
"커피점/카페 • 샛강역, 도보 8분","매매 3억 5,000만",평당 9444만,권리금 -,관리비 25만,전용 40.5㎡ • 지상 2층 / 지상 21층,"오피스 상권, 안정적인 수익 가능한 여의도동 상가 매매"
"커피점/카페 • 영등포역, 도보 8분","월세 3,000만/130만",평당 16만,권리금 2억,관리비 -,전용 99.17㎡ • 지상 2층 / 지상 3층,"영등포동 신길역 역세권, SNS 핫플레이스 카페 겸 전시장"
"커피점/카페 • 국회의사당역, 도보 4분","월세 5,000만/420만",평당 86만,"권리금 7,000만",관리비 60만,전용 56.2㎡ • 지상 1층 / 지상 13층,"여의도동 국회의사당역 역세권, 고급스러운 인테리어의 카페"
"커피점/카페 • 여의도역, 도보 1분","월세 3,000만/270만",평당 47만,"권리금 4,000만",관리비 60만,전용 66.12㎡ • 지상 3층 / 지상 5층,"여의도동 여의도역 초역세권, 단골고객 많아 매출 안정적인 카페"
"커피점/카페 • 국회의사당역, 도보 4분","월세 6,000만/370만",평당 109만,"권리금 1억 5,000만",관리비 10만,전용 39.49㎡ • 지상 1층 / 지상 13층,국회의사당역 부근 역세권에 위치한 여의도동 1층 카페
"커피점/카페 • 서울지방병무청역, 도보 10분","월세 5,000만/500만",평당 28만,권리금 2억,관리비 -,전용 201.66㎡ • 지상 1층 / 지상 2층,"감성 인테리어 완비, 신길동 브런치카페 통임대"
"커피점/카페 • 국회의사당역, 도보 4분","월세 5,000만/310만",평당 113만,"권리금 1억 2,000만",관리비 60만,전용 31.9㎡ • 지상 1층 / 지상 13층,여의도동 오피스 상권 대로변 1층에 위치한 카페
"커피점/카페 • 신길역, 도보 9분","월세 3,000만/190만",평당 23만,"권리금 2,000만",관리비 -,전용 95.87㎡ • 지상 2층 / 지상 3층,영등포구 신길동  접근성 좋은 2층  상가임대
"커피점/카페 • 대방역, 도보 6분","월세 1,000만/75만",평당 37만,"권리금 3,500만",관리비 -,전용 23.14㎡ • 지상 1층 / 지상 4층,"시설 집기 포함, 신길동 카페"
"커피점/카페 • 국회의사당역, 도보 5분","월세 8,000만/800만",평당 59만,"권리금 7,000만",관리비 265만,전용 155.4㎡ • 지상 1층 / 지상 1층,최상급 시설 상태 완비된 여의도 카페
